50 150
-8 24 31
45 -24 -41
43 -38 -28
41 -4 -10
-11 50 -17
48 -13 -11
-30 -30 18
44 -36 -29
-45 -2 9
19 25 -31
23 50 -2
28 -29 -49
-36 16 14
-26 16 -30
-18 6 2
-39 6 3
-17 39 -2
22 38 -28
45 -10 -46
36 -43 19
-11 45 46
14 7 -43
33 -18 46
-22 -41 -39
17 -41 36
23 -46 -5
40 6 24
14 39 21
17 27 14
45 -1 -24
-36 -23 -48
-47 24 45
-36 26 -43
30 -45 19
-43 -42 -20
-4 26 -13
-9 -12 36
46 -18 -25
-7 23 45
-6 -8 -44
-31 6 14
27 -50 45
-9 -2 -4
32 -20 10
-30 5 -38
-18 1 -15
49 1 27
-5 -5 -49
-29 -10 -4
-48 24 6
4 31 1
-21 17 -6
8 29 -8
29 -20 -34
21 -34 32
-40 28 9
5 -16 31
6 8 1
-36 14 44
5 -8 -30
14 -18 -20
-48 -46 -24
-49 -9 7
25 -24 48
-1 -31 1
34 4 1
-31 33 50
-50 -11 34
-41 -1 30
-47 -31 27
45 -47 15
-49 -41 -2
6 19 -50
-21 -13 -39
9 -25 -8
41 -11 -4
11 4 -8
11 -50 -22
-15 -42 49
16 -46 -21
40 -6 -4
17 5 49
21 -31 -3
-49 12 -42
-29 -12 21
-9 28 -12
-45 -28 -46
43 -7 -25
-48 4 9
-32 11 -6
32 -42 -16
37 26 -18
27 27 18
-35 11 12
19 -35 -18
19 26 -29
-35 41 41
-36 -49 12
15 -38 46
16 -11 -38
-48 -44 30
-30 -26 -9
-1 -21 47
44 -37 20
48 -10 -36
13 40 -35
-20 46 -12
-20 4 -49
-5 -30 -42
-25 22 7
4 -33 -5
18 -40 48
-30 17 -13
40 -4 12
-17 8 6
-45 22 -44
33 42 3
-21 40 50
-36 44 -37
1 -24 -6
-12 43 -50
40 -37 -8
-29 -11 -27
42 12 -27
41 15 -35
-42 30 38
-12 16 33
-5 -48 13
20 -28 37
50 10 41
49 45 -1
-46 -32 -46
8 -29 -24
20 -4 26
-1 13 -14
40 -36 15
14 3 17
21 1 -42
-47 2 -29
-49 -4 -30
-20 21 30
11 14 39
45 -44 31
-47 -21 -44
-3 25 31
-8 49 46
10 50 -41
-44 36 -26
2 -2 34
-38 49 -38
